market_level,metric,offset,yellow_thresh,green_thresh
1,ADX,d0,24.78834806157951,35.01363809554532
1,ADX,d1,24.03418101429018,34.37459469652707
1,ADX,d2,23.236888193264186,33.809101749024265
1,ADX,d3,23.30357785557169,33.65882823017904
1,ATR,d0,0.0159757383336313,0.3465189522346347
1,ATR,d1,0.016118379643144,0.3478596339619574
1,ATR,d2,0.0157463166003423,0.3426301932317902
1,ATR,d3,0.0154146327970434,0.3353227201247056
1,BBW,d0,0.7906045056738125,1.758568208509775
1,BBW,d1,0.6830665813190854,1.437756157904041
1,BBW,d2,0.6314242727358833,1.24116947093471
1,BBW,d3,0.6066575948403861,1.169062078779652
1,CMF,d0,-0.2035318936894415,-0.0538648959269588
1,CMF,d1,-0.1933877157094596,-0.0338103920420901
1,CMF,d2,-0.1774316129178465,-0.0268598981159849
1,CMF,d3,-0.1712664684465632,-0.0148262018468414
1,EMA100_PCT,d0,-45.45256750566674,-17.676823877523198
1,EMA100_PCT,d1,-37.50754834656209,-11.012129579155364
1,EMA100_PCT,d2,-34.30082414069862,-9.21171279131022
1,EMA100_PCT,d3,-31.586961815270108,-0.6957505677007133
1,EMA10_PCT,d0,-28.49071099783708,-11.312408860074957
1,EMA10_PCT,d1,-20.153181183549275,-7.964107415254962
1,EMA10_PCT,d2,-17.888118162990768,-5.951874542918799
1,EMA10_PCT,d3,-15.7401091790134,-4.486530036101569
1,EMA200_PCT,d0,-44.65997267622133,-12.189878841145656
1,EMA200_PCT,d1,-38.638473451272816,-0.8721574907708406
1,EMA200_PCT,d2,-36.72664601450956,3.097425374538845
1,EMA200_PCT,d3,-35.748218747972324,12.55395733039212
1,EMA50_PCT,d0,-44.270354492628265,-17.30664018011573
1,EMA50_PCT,d1,-37.31829665540432,-11.967734254679202
1,EMA50_PCT,d2,-33.97289658411547,-10.097437459716954
1,EMA50_PCT,d3,-28.59128984566189,-6.322292285477755
1,EMA5_PCT,d0,-18.86120147898595,-6.54703376161159
1,EMA5_PCT,d1,-12.721871012547792,-3.963319826291824
1,EMA5_PCT,d2,-10.75680129531428,-3.0589463953552825
1,EMA5_PCT,d3,-9.325533803904218,-2.6244467344592883
1,MACD,d0,-0.0919061735530597,-0.0007339499835504
1,MACD,d1,-0.0734850516972959,-0.0002401960197981
1,MACD,d2,-0.0402662151889126,-4.942569130308047e-05
1,MACD,d3,-0.0349373515808653,-6.877254138671976e-06
1,MACD_SIGNAL,d0,-0.0325804778520166,-2.7259050475174243e-05
1,MACD_SIGNAL,d1,-0.0229589278066478,4.896771659506899e-07
1,MACD_SIGNAL,d2,-0.0163184962986943,8.228444143435835e-05
1,MACD_SIGNAL,d3,-0.010116611410073,0.0004741433440262
1,OBV,d0,2587303.0,1711013447.6000006
1,OBV,d1,3332650.0,1750264784.4000003
1,OBV,d2,3548571.9600000004,1810240778.0
1,OBV,d3,3940036.0,1807334787.0
1,RNG,d0,0.652820571347617,1.4660494115493197
1,RNG,d1,0.5743974100130774,1.2049623278554014
1,RNG,d2,0.5237230957179781,1.0177498757010506
1,RNG,d3,0.5058088615016239,0.9399000585990308
1,RSI,d0,31.5284490693466,41.4500188300667
1,RSI,d1,33.598587220283406,44.057892553885466
1,RSI,d2,34.96823597630305,45.5794608251278
1,RSI,d3,36.86752260971506,46.419509888331646
1,RVOL,d0,0.6406572345200919,1.00400078415528
1,RVOL,d1,0.5627217916965213,0.969529545085862
1,RVOL,d2,0.6012397076405295,0.988656114673762
1,RVOL,d3,0.5831215211445056,1.015353121801433
1,STD,d0,0.0149825013560965,0.3978434454648161
1,STD,d1,0.0141727415279655,0.3899564482619758
1,STD,d2,0.0138667939619529,0.3715003674122614
1,STD,d3,0.0135490978816844,0.3694846684936531
2,ADX,d0,25.52836156015415,36.80697747841503
2,ADX,d1,25.229003803661207,37.4715376758409
2,ADX,d2,25.007590000130072,37.98707854036684
2,ADX,d3,24.4632515054888,37.47767491860378
2,ATR,d0,0.0044821453278526,0.0862178505215799
2,ATR,d1,0.004573929323518,0.0860574369744108
2,ATR,d2,0.0044329126201306,0.0866809880276315
2,ATR,d3,0.0044192892453368,0.087180791715793
2,BBW,d0,0.6339539472244433,1.2132104094548135
2,BBW,d1,0.5923452707300918,0.977218787467334
2,BBW,d2,0.5683398387125456,0.9731731832437128
2,BBW,d3,0.5684771912370975,0.9309815218054492
2,CMF,d0,-0.1799182331836112,-0.0224776537789105
2,CMF,d1,-0.164497358148662,-0.0108563919569812
2,CMF,d2,-0.1709333459061041,-0.0033494740258302
2,CMF,d3,-0.1621014105199019,0.0047972320331258
2,EMA100_PCT,d0,-35.60183883781997,-3.806594504493264
2,EMA100_PCT,d1,-28.320123125268758,1.1960687939721797
2,EMA100_PCT,d2,-26.976376430898306,3.570561082191306
2,EMA100_PCT,d3,-26.87057636860598,7.932578818805972
2,EMA10_PCT,d0,-15.826147155393372,-5.23077915753354
2,EMA10_PCT,d1,-11.697285151115269,-2.387644180728965
2,EMA10_PCT,d2,-11.63390626958338,-1.3284008863167878
2,EMA10_PCT,d3,-10.21103364904734,-1.0241690515412367
2,EMA200_PCT,d0,-47.252443915321685,-0.7988487052351267
2,EMA200_PCT,d1,-41.347795201749605,9.253945535099984
2,EMA200_PCT,d2,-40.98253179580988,9.301946775470553
2,EMA200_PCT,d3,-37.5188346228409,12.296229854291845
2,EMA50_PCT,d0,-27.97916621079364,-8.306791273793909
2,EMA50_PCT,d1,-23.7690800632754,-0.1542443157304571
2,EMA50_PCT,d2,-23.09989998559547,0.4089072567496304
2,EMA50_PCT,d3,-21.75975734877405,1.5203119341998044
2,EMA5_PCT,d0,-8.959105858549995,-2.3869300790711594
2,EMA5_PCT,d1,-6.022097742507402,-0.7092661741518521
2,EMA5_PCT,d2,-6.671984484642292,-0.8808325229076945
2,EMA5_PCT,d3,-5.285792101774505,-0.1967826923034191
2,MACD,d0,-0.0104159109973962,1.422380537095141e-05
2,MACD,d1,-0.0065119498820842,0.0001528605012886
2,MACD,d2,-0.0058348685933999,0.0001004318117312
2,MACD,d3,-0.0050908840792793,0.0001957679303863
2,MACD_SIGNAL,d0,-0.0044138382927329,0.0001719939819934
2,MACD_SIGNAL,d1,-0.0038708467313744,0.0002930953821714
2,MACD_SIGNAL,d2,-0.0036665843095775,0.0003171023867085
2,MACD_SIGNAL,d3,-0.0033333658353269,0.0005543205586925
2,OBV,d0,63382.0,564369835.66
2,OBV,d1,64367.20000000002,564374203.0
2,OBV,d2,63388.0,564369446.06
2,OBV,d3,63390.7,564369901.0
2,RNG,d0,0.5413961175596168,0.9844741493222492
2,RNG,d1,0.4988073806250415,0.8054472597457321
2,RNG,d2,0.4861364604137488,0.8154385589016617
2,RNG,d3,0.4579163651487893,0.8237102506031672
2,RSI,d0,36.918938357791966,47.02189853481856
2,RSI,d1,38.79652856499801,49.0074485224405
2,RSI,d2,39.19560418608864,49.60299253258231
2,RSI,d3,40.638574441468265,50.30711761660443
2,RVOL,d0,0.5042308716744026,0.9288280060794776
2,RVOL,d1,0.5357277842457301,0.9849169868900588
2,RVOL,d2,0.5367453735779006,1.0192407696307852
2,RVOL,d3,0.5239636149202815,0.9304420122039748
2,STD,d0,0.0040354723390282,0.0830713597633854
2,STD,d1,0.0039862788014408,0.0805017986272243
2,STD,d2,0.0039532085217884,0.0784900542756024
2,STD,d3,0.0040363699349255,0.0759878830760075
3,ADX,d0,25.75458760165129,37.79419974926759
3,ADX,d1,25.626555216343395,38.30536375108012
3,ADX,d2,25.767561700346672,39.1558238306751
3,ADX,d3,25.414943008680545,40.06509505793406
3,ATR,d0,0.0060895751215192,0.0784431743778595
3,ATR,d1,0.0060566718586243,0.0789016702936735
3,ATR,d2,0.0061677860906807,0.0764840277500996
3,ATR,d3,0.0059912206548822,0.077392359308714
3,BBW,d0,0.6161287942249863,1.084881033202299
3,BBW,d1,0.5685899197302358,0.9903659101503648
3,BBW,d2,0.55922995186562,0.9500871786643568
3,BBW,d3,0.5466309583500165,0.9145374116782178
3,CMF,d0,-0.1403075087562593,0.0255277793273396
3,CMF,d1,-0.1332056971113849,0.0486936345262518
3,CMF,d2,-0.140035769222068,0.0333979466126128
3,CMF,d3,-0.1283568369471196,0.0321797728111683
3,EMA100_PCT,d0,-32.191998489034845,4.313338960802889
3,EMA100_PCT,d1,-24.574033706266626,12.980860609710742
3,EMA100_PCT,d2,-24.915101002648004,16.55376527833531
3,EMA100_PCT,d3,-25.83623406653944,18.562176958698377
3,EMA10_PCT,d0,-15.36038479679338,-3.97840196077654
3,EMA10_PCT,d1,-9.908200829402444,0.104603103386049
3,EMA10_PCT,d2,-8.849216286573023,-0.0027395405883208
3,EMA10_PCT,d3,-8.672570051655326,0.5476729572843638
3,EMA200_PCT,d0,-42.72847923060558,16.960030211955818
3,EMA200_PCT,d1,-35.817649898819646,28.198839034435046
3,EMA200_PCT,d2,-35.331399135803274,27.89809526082542
3,EMA200_PCT,d3,-36.33890746094457,27.015573541126685
3,EMA50_PCT,d0,-24.473112300043763,-2.796918913117334
3,EMA50_PCT,d1,-17.55160369278978,3.5333146525663275
3,EMA50_PCT,d2,-18.428423596188683,5.549320292034455
3,EMA50_PCT,d3,-16.754199564972673,7.199994324668009
3,EMA5_PCT,d0,-9.760326896870293,-2.584441427271013
3,EMA5_PCT,d1,-5.617828027325393,0.3895290755769457
3,EMA5_PCT,d2,-5.409543285750021,0.1231084880563005
3,EMA5_PCT,d3,-4.805258806935035,0.3814772687397339
3,MACD,d0,-0.0057744277032074,9.08734152244282e-05
3,MACD,d1,-0.004656240922898,0.0004275906306823
3,MACD,d2,-0.0038811141969622,0.0009204947275663
3,MACD,d3,-0.0038271666398551,0.0011912581055853
3,MACD_SIGNAL,d0,-0.0035641252721378,0.0011628695270736
3,MACD_SIGNAL,d1,-0.0034702067360562,0.0012073604979381
3,MACD_SIGNAL,d2,-0.0028854586233217,0.0012626927872473
3,MACD_SIGNAL,d3,-0.0025898262098377,0.001684508010419
3,OBV,d0,246043.0,412099247.0
3,OBV,d1,290582.1799999999,456927865.0
3,OBV,d2,245560.0,456105311.0
3,OBV,d3,272508.9999999997,431957959.0
3,RNG,d0,0.5169230396028945,0.9584864246046236
3,RNG,d1,0.4909056264214308,0.8363558424637549
3,RNG,d2,0.4829859118070397,0.786247091345524
3,RNG,d3,0.4845459024173164,0.7750112200292957
3,RSI,d0,38.914359405880745,47.56845525647468
3,RSI,d1,41.66255197527823,50.413571097355245
3,RSI,d2,41.65221525489353,50.792299115906616
3,RSI,d3,42.4437874617181,51.58198153423297
3,RVOL,d0,0.5443793703984096,0.9617340300817112
3,RVOL,d1,0.5863244791863824,1.0474265817805033
3,RVOL,d2,0.602639996015772,1.018786248114974
3,RVOL,d3,0.6209593367305122,1.0509836418085792
3,STD,d0,0.0059111156968722,0.0748451156853996
3,STD,d1,0.0060501406151611,0.071004279137185
3,STD,d2,0.005756478684784,0.0698635328083188
3,STD,d3,0.0054797832882423,0.0699743592843552
4,ADX,d0,23.13604233787084,35.081660509346655
4,ADX,d1,23.23953407169023,35.89314554333508
4,ADX,d2,23.11609006330599,36.46820853960845
4,ADX,d3,22.8676931139632,37.37862628360372
4,ATR,d0,0.0056375544333706,0.0588613936421763
4,ATR,d1,0.0050687562300854,0.0591088141526296
4,ATR,d2,0.0051464942475774,0.0581065095521853
4,ATR,d3,0.0053276091304242,0.0600438574858953
4,BBW,d0,0.4552144503889237,0.9403087875474564
4,BBW,d1,0.430238838057395,0.8113278661028295
4,BBW,d2,0.4289355128141099,0.8327907579931726
4,BBW,d3,0.4243530220901061,0.8627212079713108
4,CMF,d0,-0.0943611661306156,0.0681103075268993
4,CMF,d1,-0.0750800591612515,0.0852152027058111
4,CMF,d2,-0.0777873986961308,0.0715933478184168
4,CMF,d3,-0.089384336387937,0.0496508242667229
4,EMA100_PCT,d0,-27.34329503927147,-0.6256146413611733
4,EMA100_PCT,d1,-22.391429467681235,8.76414451454372
4,EMA100_PCT,d2,-23.41087495026504,6.265696442761832
4,EMA100_PCT,d3,-23.62538225886649,5.060055429215185
4,EMA10_PCT,d0,-8.175521802972169,-0.2726186627751285
4,EMA10_PCT,d1,-5.009718186592064,2.3323922176987044
4,EMA10_PCT,d2,-4.956620080241246,1.3924344698106403
4,EMA10_PCT,d3,-6.317966250451186,0.7303178934640526
4,EMA200_PCT,d0,-39.1988584667908,-3.44558531258876
4,EMA200_PCT,d1,-34.43631069289496,8.007904884094103
4,EMA200_PCT,d2,-36.19333774202094,5.135771410756252
4,EMA200_PCT,d3,-35.831249105082684,4.550757570842765
4,EMA50_PCT,d0,-16.082579123989063,-0.4104499084843421
4,EMA50_PCT,d1,-11.408961144384389,7.265032792255803
4,EMA50_PCT,d2,-11.576369754020831,5.67574824612203
4,EMA50_PCT,d3,-12.445086420874452,4.3619063763618735
4,EMA5_PCT,d0,-5.377314644810378,-0.2688065466588524
4,EMA5_PCT,d1,-3.128864251050661,1.296330565853619
4,EMA5_PCT,d2,-3.2353959204140548,1.2313506872527356
4,EMA5_PCT,d3,-4.346979073745568,0.5539321350092826
4,MACD,d0,-0.0007777819604136,0.0018645398694224
4,MACD,d1,-0.0003515685765559,0.0034017236886458
4,MACD,d2,-0.0004413836528312,0.0037820750275371
4,MACD,d3,-0.0004500376080053,0.0048311493464214
4,MACD_SIGNAL,d0,-0.0004444909500805,0.0036617704714198
4,MACD_SIGNAL,d1,-0.0004232663581471,0.0040332870789916
4,MACD_SIGNAL,d2,-0.0003849313152724,0.0042283567086605
4,MACD_SIGNAL,d3,-0.0004065576504442,0.0035643604641422
4,OBV,d0,192544.0,716105652.0
4,OBV,d1,253159.6000000001,683401521.0
4,OBV,d2,205512.0,684482368.0
4,OBV,d3,254933.0,675201270.0
4,RNG,d0,0.3680862864888148,0.7795521765772421
4,RNG,d1,0.351189349699696,0.6871226676677396
4,RNG,d2,0.355612060001461,0.6744023092476812
4,RNG,d3,0.354962911446847,0.6990172058693496
4,RSI,d0,42.97544275140825,50.17922941992204
4,RSI,d1,45.24383327950064,53.58485035956936
4,RSI,d2,45.543701506801945,53.16845959663067
4,RSI,d3,45.45981329895144,52.42181643923493
4,RVOL,d0,0.6054987316075885,1.0258648857610582
4,RVOL,d1,0.5882352941176471,1.016622360374537
4,RVOL,d2,0.5437192671685342,0.9586311295276984
4,RVOL,d3,0.5514515802724452,0.942758560347042
4,STD,d0,0.0048280714447351,0.074512855169884
4,STD,d1,0.0051171008672826,0.0766562437654476
4,STD,d2,0.0053158901999974,0.0743513417348095
4,STD,d3,0.0053454639550389,0.0737540440239764
5,ADX,d0,25.919104966178075,41.62663316890138
5,ADX,d1,25.050089348083656,40.81017575633856
5,ADX,d2,25.49036978808874,40.82440442370828
5,ADX,d3,25.78257584760974,40.168041304608415
5,ATR,d0,0.006005750673099,0.0589338341195806
5,ATR,d1,0.0060068113348133,0.0601267461880043
5,ATR,d2,0.0057756497571316,0.0610776493671358
5,ATR,d3,0.005600238209598,0.0623212490182453
5,BBW,d0,0.5108681912414953,1.0544055535630366
5,BBW,d1,0.4983588890183779,0.9612089915465268
5,BBW,d2,0.497243887891728,0.8735199825154051
5,BBW,d3,0.5000000568434193,0.8956095226325899
5,CMF,d0,-0.121630868432598,0.0598607578322477
5,CMF,d1,-0.1041393301446007,0.0809220676802158
5,CMF,d2,-0.1221739433249048,0.0714548562775001
5,CMF,d3,-0.1233746330469117,0.063175118038101
5,EMA100_PCT,d0,-27.04230172442548,16.938780881568277
5,EMA100_PCT,d1,-18.37049368668078,27.689758498257618
5,EMA100_PCT,d2,-18.76767827176415,28.27516757685641
5,EMA100_PCT,d3,-22.50838853256026,29.402722078621288
5,EMA10_PCT,d0,-7.758053315505069,1.2892742785549896
5,EMA10_PCT,d1,-2.970545575778069,5.949686147411853
5,EMA10_PCT,d2,-2.4864686540037644,7.541891708600947
5,EMA10_PCT,d3,-4.411203339279743,5.180045957547087
5,EMA200_PCT,d0,-36.33227658005002,18.228770076597243
5,EMA200_PCT,d1,-27.00999532214594,37.62544219103939
5,EMA200_PCT,d2,-27.34281212267632,34.42923481922644
5,EMA200_PCT,d3,-31.286958615283066,37.18883948778734
5,EMA50_PCT,d0,-18.15805591295829,9.52352801470986
